algorithm,matrix_size,pair_id,time_seconds,memory_before_kb,memory_after_kb,memory_difference_kb,heap_current_bytes,heap_peak_bytes,heap_allocations,is_correct,max_abs_error,max_rel_error
iterative,128,4,0.002391441,2872,2872,0,0,0,0,1,0,0
recursive,128,4,0.072366590,2872,2872,0,0,611632,4194302,1,4.9737991503207013e-14,1.3500098213081931e-15
hybrid_divide_conquer,128,4,0.001639663,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.3500098213081931e-15
strassen,128,4,0.057709301,2872,2872,0,0,917448,2882397,1,2.9771740628348198e-12,9.4817288968145389e-14
hybrid_strassen,128,4,0.001935118,2872,2872,0,0,688128,21,1,8.5265128291212022e-14,2.4405881461817803e-15
iterative,128,5,0.002146806,2872,2872,0,0,0,0,1,0,0
recursive,128,5,0.079588125,2872,2872,0,0,611632,4194302,1,4.2632564145606011e-14,1.2345132742895799e-15
hybrid_divide_conquer,128,5,0.001932338,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.5146010097204023e-15
strassen,128,5,0.057879018,2872,2872,0,0,917448,2882397,1,3.3359981443936704e-12,1.0970657535513531e-13
hybrid_strassen,128,5,0.002508058,2872,2872,0,0,688128,21,1,8.5265128291212022e-14,2.4303802304349911e-15
iterative,128,6,0.002076095,2872,2872,0,0,0,0,1,0,0
recursive,128,6,0.083711689,2872,2872,0,0,611632,4194302,1,4.9737991503207013e-14,1.3928760449178539e-15
hybrid_divide_conquer,128,6,0.002006971,2872,2872,0,0,458752,14,1,4.2632564145606011e-14,1.2466038288392485e-15
strassen,128,6,0.059567598,2872,2872,0,0,917448,2882397,1,1.5276668818842154e-12,5.1216907433926601e-14
hybrid_strassen,128,6,0.002449680,2872,2872,0,0,688128,21,1,7.1054273576010019e-14,2.1737952768693988e-15
iterative,128,7,0.001974206,2872,2872,0,0,0,0,1,0,0
recursive,128,7,0.069732273,2872,2872,0,0,611632,4194302,1,4.2632564145606011e-14,1.3215505176964668e-15
hybrid_divide_conquer,128,7,0.002107842,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.3992638365928611e-15
strassen,128,7,0.067299427,2872,2872,0,0,917448,2882397,1,1.7550405573274475e-12,5.3799581061884423e-14
hybrid_strassen,128,7,0.002283580,2872,2872,0,0,688128,21,1,8.8817841970012523e-14,2.9106729928960609e-15
iterative,128,8,0.002398187,2872,2872,0,0,0,0,1,0,0
recursive,128,8,0.103062455,2872,2872,0,0,611632,4194302,1,4.2632564145606011e-14,1.2392814360154011e-15
hybrid_divide_conquer,128,8,0.002405328,2872,2872,0,0,458752,14,1,4.2632564145606011e-14,1.2648099284805363e-15
strassen,128,8,0.063468001,2872,2872,0,0,917448,2882397,1,2.5508484213787597e-12,7.2756527363817043e-14
hybrid_strassen,128,8,0.002545658,2872,2872,0,0,688128,21,1,7.815970093361102e-14,2.4495128271532997e-15
iterative,128,9,0.002496919,2872,2872,0,0,0,0,1,0,0
recursive,128,9,0.091937793,2872,2872,0,0,611632,4194302,1,4.2632564145606011e-14,1.4304245553012585e-15
hybrid_divide_conquer,128,9,0.002743460,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.4304245553012585e-15
strassen,128,9,0.072649348,2872,2872,0,0,917448,2882397,1,3.1370461783808423e-12,9.8658664744797817e-14
hybrid_strassen,128,9,0.002613960,2872,2872,0,0,688128,21,1,7.815970093361102e-14,2.6013557081777697e-15
iterative,128,10,0.002958268,2872,2872,0,0,0,0,1,0,0
recursive,128,10,0.100773816,2872,2872,0,0,611632,4194302,1,4.9737991503207013e-14,1.3272163229161547e-15
hybrid_divide_conquer,128,10,0.002060534,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.2993627291693158e-15
strassen,128,10,0.066904545,2872,2872,0,0,917448,2882397,1,3.822719918389339e-12,1.2636030005600935e-13
hybrid_strassen,128,10,0.002502205,2872,2872,0,0,688128,21,1,9.2370555648813024e-14,3.1988481084107102e-15
iterative,256,1,0.029329763,3500,4012,512,0,0,0,1,0,0
recursive,256,1,0.581911577,4012,5944,1932,0,2446640,33554430,1,1.2789769243681803e-13,2.0639815249362397e-15
hybrid_divide_conquer,256,1,0.013956713,5944,5944,0,0,2293760,126,1,1.2789769243681803e-13,1.942570846998814e-15
strassen,256,1,0.355767627,5944,7096,1152,0,3669960,20176800,1,9.9120711638533976e-12,1.5720255117994397e-13
hybrid_strassen,256,1,0.012397859,7096,7096,0,0,3440640,168,1,3.2684965844964609e-13,4.9934203186577182e-15
iterative,256,2,0.017252357,7096,7096,0,0,0,0,1,0,0
recursive,256,2,0.517439575,7096,7096,0,0,2446640,33554430,1,1.2789769243681803e-13,1.9229921764062989e-15
hybrid_divide_conquer,256,2,0.014104524,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.9229921764062989e-15
strassen,256,2,0.336150316,7096,7096,0,0,3669960,20176800,1,1.2619238987099379e-11,1.9883317649156208e-13
hybrid_strassen,256,2,0.012367194,7096,7096,0,0,3440640,168,1,2.8421709430404007e-13,4.4526382811337754e-15
iterative,256,3,0.016536171,7096,7096,0,0,0,0,1,0,0
recursive,256,3,0.508281115,7096,7096,0,0,2446640,33554430,1,1.1368683772161603e-13,1.7178249872776147e-15
hybrid_divide_conquer,256,3,0.013730580,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.9538046814108512e-15
strassen,256,3,0.338141584,7096,7096,0,0,3669960,20176800,1,1.0402345651527867e-11,1.6036139646757317e-13
hybrid_strassen,256,3,0.011607364,7096,7096,0,0,3440640,168,1,2.9132252166164108e-13,4.7610409261400235e-15
iterative,256,4,0.017455979,7096,7096,0,0,0,0,1,0,0
recursive,256,4,0.515629198,7096,7096,0,0,2446640,33554430,1,1.2789769243681803e-13,1.9187531027082322e-15
hybrid_divide_conquer,256,4,0.015598225,7096,7096,0,0,2293760,126,1,1.4210854715202004e-13,2.0479529013654432e-15
strassen,256,4,0.347438392,7096,7096,0,0,3669960,20176800,1,1.3358203432289883e-11,2.0431085351886924e-13
hybrid_strassen,256,4,0.012401674,7096,7096,0,0,3440640,168,1,3.5527136788005009e-13,5.3774691244331841e-15
iterative,256,5,0.016677627,7096,7096,0,0,0,0,1,0,0
recursive,256,5,0.521263143,7096,7096,0,0,2446640,33554430,1,1.4210854715202004e-13,2.0274684050310678e-15
hybrid_divide_conquer,256,5,0.013169926,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.9230232686532322e-15
strassen,256,5,0.346019983,7096,7096,0,0,3669960,20176800,1,1.20579102258489e-11,1.9527737110984723e-13
hybrid_strassen,256,5,0.012550089,7096,7096,0,0,3440640,168,1,2.7711166694643907e-13,4.4916099337059546e-15
iterative,256,6,0.016399134,7096,7096,0,0,0,0,1,0,0
recursive,256,6,0.543828635,7096,7096,0,0,2446640,33554430,1,1.2789769243681803e-13,1.8281666738927447e-15
